ID,x,y,RA_deg,Dec_deg,area_px,elongation,size_ratio,class_guess
46,1495.326514369421,314.62981242687107,175.2468471500306,47.664417179197635,85.0,1.050481072538082,1.2862574085139264,star?
47,1264.5161081247445,313.472727207844,175.25135968483616,47.63920303542137,48.0,1.1616938873007236,1.288681540492545,star?
48,1125.474566494982,316.7988544697158,175.2547276751054,47.62406904376055,21.0,1.2966662212595312,0.9825887038105658,star?
49,184.90260960079974,333.7585586235312,175.27656416898478,47.52161396234549,180.0,1.2515422043221376,2.7092292857959994,galaxy?
50,285.7064384243433,343.7615718110539,175.27613952920103,47.53275652971189,25.0,1.401374447277534,1.0545268577785343,galaxy?
51,440.74156498475696,349.3335914077211,175.27389875548715,47.5497592122217,67.0,1.0237944885984633,1.4519827825227998,galaxy?
52,1510.0133586742588,394.326158359021,175.25946844792733,47.667115153011366,44.0,1.0929986224747155,1.0736648837736886,star?
53,557.3495336798196,401.08890053709234,175.27990866207088,47.5631992864259,39.0,1.0614520107044263,1.2441992648885927,star?
54,542.4093546291598,409.2012182192821,175.281524016642,47.56167924010113,75.0,1.1226840564588842,1.5445475521055112,galaxy?
55,372.381143765088,432.65942934236017,175.2887620223205,47.54343681107153,149.0,1.0233712219503315,1.3655969633220018,galaxy?
56,1310.6684734868668,436.07649824235267,175.2702890439097,47.645924247064734,128.0,1.0363792014107143,2.100511349409861,galaxy?
57,748.1744753987635,437.35069416132785,175.2819099621929,47.584529878563096,23.0,1.1162982599137503,0.9857962964768189,star?
58,1380.8945918240643,451.8749579960389,175.27142278254064,47.653807892967116,30.0,1.220467292871893,1.3225451020259869,galaxy?
59,955.5048355059736,474.1108371693795,175.28365897898647,47.60766931570998,258.0,1.0311479791909757,1.4864440530734355,galaxy?
60,759.9078524730255,496.5922980811165,175.2912622697598,47.58662176085992,24.0,2.1390394777363855,1.2869984289574217,galaxy?
61,1866.6081942340438,502.98106571581104,175.26983631744798,47.70753711307987,32.0,1.101603620796083,0.9981284969595623,star?
62,709.1864033414137,524.5860261319697,175.29682057497268,47.58146680301048,49.0,1.1814521035404615,1.2191334674509309,star?
